class_name,wnid,pglove
bird,n01503061,bird
cat,n02121808,cat
mug,n03063599,mug
bus,n02924116,bus
diningtable,n03201208,table
bottle,n02876657,bottle
car,n02958343,car
boat,n02858304,boat
dog,n02084071,dog
zebra,n02391049,zebra
monkey,n02484322,monkey
centaur,n09240051,centaur
chair,n03001627,chair
bicycle,n02834778,bicycle
building,n07973241,building
aeroplane,n02691156,aeroplane
wolf,n02114100,wolf
carriage,n03895866,carriage
sofa,n04256520,sofa
bag,n02773037,bag
tvmonitor,n04405762,tv
goat,n02416519,goat
motorbike,n03769722,motorbike
cow,n01887787,cow
jetski,n04530566,watercraft
train,n04468005,train
sheep,n02411705,sheep
statue,n04306847,statue
horse,n02374451,horse
person,n00007846,person
pottedplant,n00017222,plant
donkey,n02389559,donkey